ticker,company_name,total_value,unique_managers,quarters_active,buy_add_actions,sell_reduce_actions,net_activity,phase,current_shares,current_holders,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
GOOG,Alphabet Inc. CL C,16670836000.0,27,4,23,64,-41,Distributing,53125661.0,29.0,3,20,62,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
WFC,Wells Fargo,3231434000.0,11,4,1,41,-40,Distributing,34672040.0,14.0,0,1,41,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
GOOGL,Alphabet Inc.,20966014000.0,34,4,32,65,-33,Distributing,67592661.0,32.0,7,25,60,5,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
META,Meta Platforms Inc.,13022653000.0,31,4,37,65,-28,Distributing,19720681.0,25.0,9,28,58,7,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BAC,Bank of America Corp.,29456313000.0,14,4,8,35,-27,Distributing,535573730.0,12.0,2,6,31,4,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
MSFT,Microsoft Corp.,29014352000.0,35,4,45,72,-27,Distributing,59994020.0,35.0,2,43,70,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
ORCL,Oracle Corp.,3242084000.0,11,4,4,31,-27,Distributing,16630352.0,9.0,0,4,28,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
AAPL,Apple Inc.,71994648000.0,16,4,14,39,-25,Distributing,264822506.0,18.0,2,12,37,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
COF,Capital One Financial,8792708000.0,16,4,15,40,-25,Distributing,36566142.0,17.0,3,12,39,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
JPM,JPMorgan Chase & Co.,1419784000.0,11,4,6,29,-23,Distributing,4406257.0,12.0,0,6,28,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
C,Citigroup Inc.,715650000.0,9,4,4,26,-22,Distributing,6132926.0,8.0,0,4,25,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BRK.B,Berkshire Hathaway CL B,16472611000.0,18,4,16,38,-22,Distributing,32771496.0,20.0,1,15,37,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
MA,Mastercard Inc.,8175410000.0,16,4,10,30,-20,Distributing,14320719.0,16.0,3,7,27,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
V,Visa Inc.,21936818000.0,24,4,25,45,-20,Distributing,62549734.0,26.0,3,22,44,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
GS,Goldman Sachs Group,1436475000.0,7,4,2,21,-19,Distributing,1634347.0,6.0,1,1,18,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BK,Bank of New York Mellon Corp.,3484621000.0,5,4,0,18,-18,Distributing,30016546.0,6.0,0,0,18,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
AXP,American Express,57008964000.0,10,4,3,20,-17,Distributing,154099098.0,11.0,1,2,20,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
INTU,Intuit Inc.,1697062000.0,14,4,14,31,-17,Distributing,2561913.0,10.0,5,9,26,5,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BRK.A,Berkshire Hathaway CL A,3448679000.0,9,4,1,17,-16,Distributing,4569.0,13.0,0,1,16,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
JNJ,Johnson & Johnson,480297000.0,9,4,3,18,-15,Distributing,2323310.0,11.0,1,2,18,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
TEL,TE Connectivity plc,1966997000.0,5,4,1,15,-14,Distributing,8645761.0,5.0,0,1,15,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
NVDA,NVIDIA Corp.,6904670000.0,15,4,32,18,14,Accumulating,37022353.0,14.0,7,25,16,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BKNG,Booking Holdings Inc.,2484039000.0,11,4,11,24,-13,Distributing,463844.0,8.0,4,7,21,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
DIS,Walt Disney Co.,3287640000.0,16,4,20,33,-13,Distributing,28897888.0,17.0,3,17,33,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
ADP,Automatic Data Processing Inc.,1238230000.0,4,4,0,13,-13,Distributing,4813708.0,3.0,0,0,12,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BABA,Alibaba Group Holdings,1501955000.0,10,4,5,18,-13,Distributing,10246649.0,7.0,3,2,15,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
AMT,American Tower Corp.,377433000.0,5,4,3,16,-13,Distributing,2149762.0,3.0,0,3,14,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
CVS,CVS Health Corp.,4681914000.0,7,4,6,19,-13,Distributing,58995842.0,8.0,0,6,19,0,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
BMY,Bristol-Myers Squibb,313096000.0,6,4,4,16,-12,Distributing,5809130.0,6.0,1,3,13,3,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
PM,Philip Morris Intl.,3460089000.0,8,4,7,19,-12,Distributing,21571631.0,7.0,1,6,17,2,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
CBRE,CBRE Group,1068980000.0,7,4,4,16,-12,Distributing,6684549.0,6.0,2,2,15,1,accumulation_vs_distribution,2026-02-23,"Q4 2025, Q3 2025, Q2 2025, Q1 2025",4
